# galID     delta(R=1Mpc)     delta(R=2Mpc)     delta(R=3Mpc)     delta(R=4Mpc)     delta(R=5Mpc)     delta(R=6Mpc)     delta(R=7Mpc)     delta(R=8Mpc)
598928	-999	-999	-999	-999	-999	-999	-999	-999
598937	-999	-999	-999	-999	-999	-999	-999	-999
598940	-999	-999	-999	-999	-999	-999	-999	-999
598942	-999	-999	-999	-999	-999	-999	-999	-999
598946	-999	-999	-999	-999	-999	-999	-999	-999
598951	-999	-999	-999	-999	-999	-999	-999	-999
598961	-999	-999	-999	-999	-999	-999	-999	-999
598965	-999	-999	-999	-999	-999	-999	-999	-999
598967	-999	-999	-999	-999	-999	-999	-999	-999
598963	-999	-999	-999	-999	-999	-999	-999	-999
598964	-999	-999	-999	-999	-999	-999	-999	-999
598973	-999	-999	-999	-999	-999	-999	-999	-999
598976	-999	-999	-999	-999	-999	-999	-999	-999
598984	-999	-999	-999	-999	-999	-999	-999	-999
598986	-999	-999	-999	-999	-999	-999	-999	-999
598988	-999	-999	-999	-999	-999	-999	-999	-999
598993	-999	-999	-999	-999	-999	-999	-999	-999
599001	-999	-999	-999	-999	-999	-999	-999	-999
599002	-999	-999	-999	-999	-999	-999	-999	-999
599008	-999	-999	-999	-999	-999	-999	-999	-999
599014	-999	-999	-999	-999	-999	-999	-999	-999
599013	-999	-999	-999	-999	-999	-999	-999	-999
599021	-999	-999	-999	-999	-999	-999	-999	-999
599024	-999	-999	-999	-999	-999	-999	-999	-999
599031	-999	-999	-999	-999	-999	-999	-999	-999
599033	-999	-999	-999	-999	-999	-999	-999	-999
599036	-999	-999	-999	-999	-999	-999	-999	-999
599035	-999	-999	-999	-999	-999	-999	-999	-999
599037	-999	-999	-999	-999	-999	-999	-999	-999
599038	-999	-999	-999	-999	-999	-999	-999	-999
599039	-999	-999	-999	-999	-999	-999	-999	-999
599045	-999	-999	-999	-999	-999	-999	-999	-999
599041	-999	-999	-999	-999	-999	-999	-999	-999
599052	-999	-999	-999	-999	-999	-999	-999	-999
599056	-999	-999	-999	-999	-999	-999	-999	-999
599059	-999	-999	-999	-999	-999	-999	-999	-999
599049	-999	-999	-999	-999	-999	-999	-999	-999
599061	-999	-999	-999	-999	-999	-999	-999	-999
599060	-999	-999	-999	-999	-999	-999	-999	-999
599062	-999	-999	-999	-999	-999	-999	-999	-999
599066	-999	-999	-999	-999	-999	-999	-999	-999
599076	-999	-999	-999	-999	-999	-999	-999	-999
599078	-999	-999	-999	-999	-999	-999	-999	-999
599080	-999	-999	-999	-999	-999	-999	-999	-999
599079	-999	-999	-999	-999	-999	-999	-999	-999
