# AngSepBCG center 	Ngals (Voids) 	Ngals (Sheets) 	Ngals (Filaments) 	Ngals (Knots)
0.0135374028088 	34331.9575008 	30321.3927672 	21110.3482565 	21110.3482565
0.0406122084263 	857.23559433 	1058.03083412 	1027.95687349 	1027.95687349
0.0676870140439 	746.416716786 	994.765828563 	1048.98175284 	1048.98175284
0.0947618196614 	715.50141372 	991.033908257 	1295.65031113 	1295.65031113
0.121836625279 	640.63210941 	1027.42300266 	1169.97782765 	1169.97782765
0.148911430897 	642.769522504 	920.668779678 	1485.32011162 	1485.32011162
0.175986236514 	628.955166206 	909.922407493 	1469.06111162 	1469.06111162
0.203061042132 	535.35032434 	869.862553655 	1367.11218232 	1367.11218232
0.230135847749 	412.14760204 	666.229918608 	1065.76933424 	1065.76933424
0.257210653367 	284.602904469 	600.808565676 	996.313752835 	996.313752835
0.284285458984 	218.945985488 	477.531056465 	879.902154005 	879.902154005
0.311360264602 	178.742032641 	363.244952602 	648.802990039 	648.802990039
0.338435070219 	141.732305501 	304.098081965 	690.136451754 	690.136451754
0.365509875837 	96.2503920538 	255.780548436 	639.02879973 	639.02879973
0.392584681455 	65.9480439786 	190.737633795 	589.57615555 	589.57615555
0.419659487072 	48.4641785736 	134.304270495 	508.882018606 	508.882018606
0.44673429269 	46.2454138305 	111.834909494 	534.936087317 	534.936087317
0.473809098307 	36.7474760045 	95.8534621801 	430.102236883 	430.102236883
0.500883903925 	26.6936183891 	79.5151300394 	357.616156532 	357.616156532
0.527958709542 	17.3975561042 	70.6562698849 	390.982558347 	390.982558347
0.55503351516 	18.4011574701 	52.699567754 	213.117347614 	213.117347614
0.582108320777 	16.7305772656 	38.0456517903 	286.690113487 	286.690113487
0.609183126395 	8.9221159262 	39.1167149876 	193.074356568 	193.074356568
0.636257932013 	7.33736733036 	26.7500607006 	206.24914718 	206.24914718
0.66333273763 	3.43556397643 	22.7030769996 	210.053252484 	210.053252484
0.690407543248 	5.92053382793 	18.3078286009 	136.334254683 	136.334254683
0.717482348865 	3.21395811655 	23.6575974489 	169.901890134 	169.901890134
0.744557154483 	2.15463224889 	13.1223555535 	107.288512905 	107.288512905
0.7716319601 	6.26387715097 	13.6416039809 	85.0086795446 	85.0086795446
0.798706765718 	2.12082784701 	14.2168944738 	82.8504432392 	82.8504432392
0.825781571335 	4.55535871611 	10.124644168 	96.3026830616 	96.3026830616
0.852856376953 	2.0925955893 	8.74130570634 	77.8791708416 	77.8791708416
0.879931182571 	0.0 	7.92740463256 	64.5365916031 	64.5365916031
0.907005988188 	1.54554009083 	5.59216658772 	50.2259074048 	50.2259074048
0.934080793806 	4.43598021577 	2.7568138717 	69.6633176448 	69.6633176448
0.961155599423 	0.0 	4.99122593238 	61.2209495675 	61.2209495675
0.988230405041 	0.976532826913 	3.53259916123 	40.7525153349 	40.7525153349
1.01530521066 	0.645700369496 	2.90357340101 	30.2608967604 	30.2608967604
1.04238001628 	0.593265396543 	2.16710200292 	33.1639695613 	33.1639695613
1.06945482189 	0.596653005465 	2.17912016418 	24.0115971052 	24.0115971052
1.09652962751 	0.0 	0.67748851455 	70.979335582 	70.979335582
1.12360443313 	0.567256637165 	0.79391891892 	48.9107728982 	48.9107728982
1.15067923875 	0.600505050505 	0.684686164968 	18.8565024126 	18.8565024126
1.17775404436 	0.0 	2.06468819454 	49.8881949848 	49.8881949848
1.20482884998 	1.55550320751 	0.697731397457 	39.1386989617 	39.1386989617
1.2319036556 	0.0 	0.695694569455 	19.0372731643 	19.0372731643
1.25897846122 	0.596653005465 	0.72150997151 	18.825700455 	18.825700455
1.28605326683 	0.0 	0.0 	41.1821062901 	41.1821062901
1.31312807245 	0.0 	1.36937232994 	28.3080804526 	28.3080804526
1.34020287807 	0.0 	1.38977838279 	48.4838323363 	48.4838323363
1.36727768369 	0.0 	0.0 	22.1192576241 	22.1192576241
1.3943524893 	0.593265396543 	0.0 	33.4527367565 	33.4527367565
1.42142729492 	1.31308956187 	0.695749255705 	15.1265793871 	15.1265793871
1.44850210054 	0.0 	0.715891010339 	12.150748194 	12.150748194
1.47557690616 	0.62508815233 	0.0 	26.2110707469 	26.2110707469
1.50265171177 	0.0 	0.695694569455 	14.6254637903 	14.6254637903
1.52972651739 	0.0 	0.0 	4.63654223968 	4.63654223968
1.55680132301 	0.805814728425 	0.695749255705 	17.023599532 	17.023599532
1.58387612863 	0.0 	0.0 	23.4848580647 	23.4848580647
1.61095093424 	0.0 	0.0 	15.7592828359 	15.7592828359
1.63802573986 	0.0 	0.0 	0.0 	0.0
1.66510054548 	0.0 	0.0 	0.0 	0.0
1.6921753511 	0.594568245127 	0.0 	3.64037216829 	3.64037216829
1.71925015671 	0.0 	0.0 	0.0 	0.0
1.74632496233 	0.0 	0.0 	10.8754802928 	10.8754802928
1.77339976795 	0.0 	0.0 	19.2238005111 	19.2238005111
1.80047457357 	0.0 	0.0 	5.61917562724 	5.61917562724
1.82754937918 	0.593265396543 	0.0 	0.0 	0.0
1.8546241848 	0.62508815233 	0.0 	5.00809935205 	5.00809935205
1.88169899042 	0.0 	0.0 	6.01546391752 	6.01546391752
1.90877379604 	0.600505050505 	0.0 	0.0 	0.0
1.93584860166 	0.0 	0.0 	13.4502011244 	13.4502011244
1.96292340727 	0.0 	0.0 	22.0117379924 	22.0117379924
1.98999821289 	0.0 	0.0 	19.3515582705 	19.3515582705
2.01707301851 	0.0 	0.0 	11.8487967914 	11.8487967914
2.04414782413 	0.0 	0.0 	11.8487967914 	11.8487967914
2.07122262974 	0.0 	0.0 	14.8612480899 	14.8612480899
2.09829743536 	0.0 	0.0 	15.0334766067 	15.0334766067
2.12537224098 	0.0 	0.0 	4.17659758204 	4.17659758204
2.1524470466 	0.0 	0.0 	0.0 	0.0
2.17952185221 	0.0 	0.0 	5.87280701754 	5.87280701754
2.20659665783 	0.0 	0.0 	18.560998935 	18.560998935
2.23367146345 	0.0 	0.0 	11.0894135157 	11.0894135157
2.26074626907 	0.0 	0.0 	0.0 	0.0
2.28782107468 	0.0 	0.0 	5.80740181269 	5.80740181269
2.3148958803 	0.0 	0.0 	0.0 	0.0
2.34197068592 	0.0 	0.0 	0.0 	0.0
2.36904549154 	0.0 	0.0 	0.0 	0.0
2.39612029715 	0.0 	0.0 	0.0 	0.0
2.42319510277 	0.0 	0.0 	1.96121718377 	1.96121718377
