|    z | completeness |      logmstar |
| 1.40 |     2.14e-04 | 10.0552725051 |
| 1.60 |     5.90e-04 | 10.0552725051 |
| 1.80 |     1.47e-03 | 10.0552725051 |
| 2.00 |     3.32e-03 | 10.0552725051 |
| 0.10 |     9.89e-08 | 10.1552725051 |
| 0.15 |     3.48e-06 | 10.1552725051 |
| 0.20 |     1.27e-05 | 10.1552725051 |
| 0.30 |     3.17e-05 | 10.1552725051 |
| 0.40 |     4.46e-05 | 10.1552725051 |
| 0.50 |     5.77e-05 | 10.1552725051 |
| 0.60 |     8.14e-05 | 10.1552725051 |
| 0.80 |     1.79e-04 | 10.1552725051 |
| 1.00 |     3.98e-04 | 10.1552725051 |
| 1.20 |     9.82e-04 | 10.1552725051 |
| 1.40 |     2.44e-03 | 10.1552725051 |
| 1.60 |     5.60e-03 | 10.1552725051 |
| 1.80 |     1.17e-02 | 10.1552725051 |
| 2.00 |     2.24e-02 | 10.1552725051 |
| 0.10 |     3.49e-06 | 10.2552725051 |
| 0.15 |     7.60e-05 | 10.2552725051 |
| 0.20 |     2.29e-04 | 10.2552725051 |
| 0.30 |     4.96e-04 | 10.2552725051 |
| 0.40 |     6.61e-04 | 10.2552725051 |
| 0.50 |     8.20e-04 | 10.2552725051 |
| 0.60 |     1.09e-03 | 10.2552725051 |
| 0.80 |     2.10e-03 | 10.2552725051 |
| 1.00 |     4.06e-03 | 10.2552725051 |
| 1.20 |     8.46e-03 | 10.2552725051 |
| 1.40 |     1.75e-02 | 10.2552725051 |
| 1.60 |     3.37e-02 | 10.2552725051 |
| 1.80 |     5.95e-02 | 10.2552725051 |
| 2.00 |     9.68e-02 | 10.2552725051 |
| 0.10 |     7.62e-05 | 10.3552725051 |
| 0.15 |     1.03e-03 | 10.3552725051 |
| 0.20 |     2.57e-03 | 10.3552725051 |
| 0.30 |     4.86e-03 | 10.3552725051 |
| 0.40 |     6.14e-03 | 10.3552725051 |
| 0.50 |     7.31e-03 | 10.3552725051 |
| 0.60 |     9.23e-03 | 10.3552725051 |
| 0.80 |     1.56e-02 | 10.3552725051 |
| 1.00 |     2.62e-02 | 10.3552725051 |
| 1.20 |     4.63e-02 | 10.3552725051 |
| 1.40 |     8.07e-02 | 10.3552725051 |
| 1.60 |     1.31e-01 | 10.3552725051 |
| 1.80 |     1.97e-01 | 10.3552725051 |
| 2.00 |     2.77e-01 | 10.3552725051 |
| 0.10 |     1.03e-03 | 10.4552725051 |
| 0.15 |     8.81e-03 | 10.4552725051 |
| 0.20 |     1.83e-02 | 10.4552725051 |
| 0.30 |     3.02e-02 | 10.4552725051 |
| 0.40 |     3.62e-02 | 10.4552725051 |
| 0.50 |     4.14e-02 | 10.4552725051 |
| 0.60 |     4.96e-02 | 10.4552725051 |
| 0.80 |     7.38e-02 | 10.4552725051 |
| 1.00 |     1.09e-01 | 10.4552725051 |
| 1.20 |     1.65e-01 | 10.4552725051 |
| 1.40 |     2.44e-01 | 10.4552725051 |
| 1.60 |     3.39e-01 | 10.4552725051 |
| 1.80 |     4.42e-01 | 10.4552725051 |
| 2.00 |     5.45e-01 | 10.4552725051 |
| 0.10 |     8.82e-03 | 10.5552725051 |
| 0.15 |     4.78e-02 | 10.5552725051 |
| 0.20 |     8.33e-02 | 10.5552725051 |
| 0.30 |     1.21e-01 | 10.5552725051 |
| 0.40 |     1.38e-01 | 10.5552725051 |
| 0.50 |     1.52e-01 | 10.5552725051 |
| 0.60 |     1.73e-01 | 10.5552725051 |
| 0.80 |     2.29e-01 | 10.5552725051 |
| 1.00 |     3.00e-01 | 10.5552725051 |
| 1.20 |     3.95e-01 | 10.5552725051 |
| 1.40 |     5.06e-01 | 10.5552725051 |
| 1.60 |     6.15e-01 | 10.5552725051 |
| 1.80 |     7.13e-01 | 10.5552725051 |
| 2.00 |     7.94e-01 | 10.5552725051 |
| 0.10 |     4.79e-02 | 10.6552725051 |
| 0.15 |     1.69e-01 | 10.6552725051 |
| 0.20 |     2.49e-01 | 10.6552725051 |
| 0.30 |     3.21e-01 | 10.6552725051 |
| 0.40 |     3.51e-01 | 10.6552725051 |
| 0.50 |     3.74e-01 | 10.6552725051 |
| 0.60 |     4.07e-01 | 10.6552725051 |
| 0.80 |     4.87e-01 | 10.6552725051 |
| 1.00 |     5.72e-01 | 10.6552725051 |
| 1.20 |     6.70e-01 | 10.6552725051 |
| 1.40 |     7.65e-01 | 10.6552725051 |
| 1.60 |     8.41e-01 | 10.6552725051 |
| 1.80 |     8.98e-01 | 10.6552725051 |
| 2.00 |     9.37e-01 | 10.6552725051 |
| 0.10 |     1.69e-01 | 10.7552725051 |
| 0.15 |     4.00e-01 | 10.7552725051 |
| 0.20 |     5.12e-01 | 10.7552725051 |
| 0.30 |     5.96e-01 | 10.7552725051 |
| 0.40 |     6.27e-01 | 10.7552725051 |
| 0.50 |     6.51e-01 | 10.7552725051 |
| 0.60 |     6.82e-01 | 10.7552725051 |
| 0.80 |     7.50e-01 | 10.7552725051 |
| 1.00 |     8.13e-01 | 10.7552725051 |
| 1.20 |     8.74e-01 | 10.7552725051 |
| 1.40 |     9.23e-01 | 10.7552725051 |
| 1.60 |     9.56e-01 | 10.7552725051 |
| 1.80 |     9.76e-01 | 10.7552725051 |
| 2.00 |     9.87e-01 | 10.7552725051 |
| 0.10 |     4.01e-01 | 10.8552725051 |
| 0.15 |     6.75e-01 | 10.8552725051 |
| 0.20 |     7.70e-01 | 10.8552725051 |
| 0.30 |     8.29e-01 | 10.8552725051 |
| 0.40 |     8.49e-01 | 10.8552725051 |
| 0.50 |     8.63e-01 | 10.8552725051 |
| 0.60 |     8.81e-01 | 10.8552725051 |
| 0.80 |     9.16e-01 | 10.8552725051 |
| 1.00 |     9.45e-01 | 10.8552725051 |
| 1.20 |     9.68e-01 | 10.8552725051 |
| 1.40 |     9.84e-01 | 10.8552725051 |
| 1.60 |     9.92e-01 | 10.8552725051 |
| 1.80 |     9.96e-01 | 10.8552725051 |
| 2.00 |     9.98e-01 | 10.8552725051 |
| 0.10 |     6.76e-01 | 10.9552725051 |
| 0.15 |     8.77e-01 | 10.9552725051 |
| 0.20 |     9.26e-01 | 10.9552725051 |
| 0.30 |     9.51e-01 | 10.9552725051 |
| 0.40 |     9.59e-01 | 10.9552725051 |
| 0.50 |     9.64e-01 | 10.9552725051 |
| 0.60 |     9.70e-01 | 10.9552725051 |
| 0.80 |     9.82e-01 | 10.9552725051 |
| 1.00 |     9.89e-01 | 10.9552725051 |
| 1.20 |     9.95e-01 | 10.9552725051 |
| 1.40 |     9.98e-01 | 10.9552725051 |
| 1.60 |     9.99e-01 | 10.9552725051 |
| 1.80 |     1.00e+00 | 10.9552725051 |
| 2.00 |     1.00e+00 | 10.9552725051 |
| 0.10 |     8.77e-01 | 11.0552725051 |
| 0.15 |     9.69e-01 | 11.0552725051 |
| 0.20 |     9.84e-01 | 11.0552725051 |
| 0.30 |     9.91e-01 | 11.0552725051 |
| 0.40 |     9.93e-01 | 11.0552725051 |
| 0.50 |     9.94e-01 | 11.0552725051 |
| 0.60 |     9.95e-01 | 11.0552725051 |
| 0.80 |     9.97e-01 | 11.0552725051 |
| 1.00 |     9.99e-01 | 11.0552725051 |
| 1.20 |     9.99e-01 | 11.0552725051 |
| 1.40 |     1.00e+00 | 11.0552725051 |
| 1.60 |     1.00e+00 | 11.0552725051 |
| 1.80 |     1.00e+00 | 11.0552725051 |
| 2.00 |     1.00e+00 | 11.0552725051 |
| 0.10 |     9.69e-01 | 11.1552725051 |
| 0.15 |     9.95e-01 | 11.1552725051 |
| 0.20 |     9.98e-01 | 11.1552725051 |
| 0.30 |     9.99e-01 | 11.1552725051 |
| 0.40 |     9.99e-01 | 11.1552725051 |
| 0.50 |     9.99e-01 | 11.1552725051 |
| 0.60 |     1.00e+00 | 11.1552725051 |
| 0.80 |     1.00e+00 | 11.1552725051 |
| 1.00 |     1.00e+00 | 11.1552725051 |
| 1.20 |     1.00e+00 | 11.1552725051 |
| 1.40 |     1.00e+00 | 11.1552725051 |
| 1.60 |     1.00e+00 | 11.1552725051 |
| 1.80 |     1.00e+00 | 11.1552725051 |
| 2.00 |     1.00e+00 | 11.1552725051 |
| 0.10 |     9.95e-01 | 11.2552725051 |
| 0.15 |     9.99e-01 | 11.2552725051 |
| 0.20 |     1.00e+00 | 11.2552725051 |
| 0.30 |     1.00e+00 | 11.2552725051 |
| 0.40 |     1.00e+00 | 11.2552725051 |
| 0.50 |     1.00e+00 | 11.2552725051 |
