# Radial bin: min	center	max
10.0 	12.0710678119 	14.1421356237
14.1421356237 	17.0710678119 	20.0
20.0 	25.8489319246 	31.6978638492
31.6978638492 	40.9677962397 	50.2377286302
50.2377286302 	64.9295813704 	79.6214341107
79.6214341107 	102.906451503 	126.191468896
126.191468896 	163.095734448 	200.0
200.0 	258.489319246 	316.978638492
316.978638492 	409.677962397 	502.377286302
502.377286302 	649.295813704 	796.214341107
796.214341107 	1029.06451503 	1261.91468896
1261.91468896 	1630.95734448 	2000.0
2000.0 	2495.34878122 	2990.69756244
2990.69756244 	3731.41675872 	4472.135955
4472.135955 	5579.76950238 	6687.40304976
6687.40304976 	8343.70152488 	10000.0
