10 10.9425111372 11.9738549987
11.9738549987 13.0051988603 14.230953337
14.230953337 15.4567078137 16.9135197396
16.9135197396 18.3703316655 20.1017558843
20.1017558843 21.8331801032 23.8909816439
23.8909816439 25.9487831846 29.8478458673
29.8478458673 33.7469085499 40.7078419458
40.7078419458 47.6687753417 57.501355109
57.501355109 67.3339348763 81.2228229581
81.2228229581 95.11171104 114.730286909
114.730286909 134.348862777 162.060837764
162.060837764 189.77281275 228.917017854
228.917017854 268.061222958 323.353882322
323.353882322 378.646541686 456.74949898
456.74949898 534.852456273 645.175815796
645.175815796 755.49917532 911.335062695
911.335062695 1067.17095007 1360.37252369
1360.37252369 1653.57409732 2214.80046808
2214.80046808 2776.02683884 3718.21592515
3718.21592515 4660.40501146 6242.15583538
6242.15583538 7823.90665931 10000
