# Radial bin: min	center	max
10.0 	12.0626877231 	14.1253754462
14.1253754462 	17.038999298 	19.9526231497
19.9526231497 	24.0682262312 	28.1838293126
28.1838293126 	33.997273184 	39.8107170553
39.8107170553 	48.0224247872 	56.234132519
56.234132519 	67.8334779957 	79.4328234724
79.4328234724 	95.8173344513 	112.20184543
112.20184543 	135.345582338 	158.489319246
158.489319246 	191.180716551 	223.872113857
223.872113857 	270.049939937 	316.227766017
316.227766017 	381.455679084 	446.683592151
446.683592151 	538.820468316 	630.95734448
630.95734448 	761.104141307 	891.250938134
891.250938134 	1075.08817496 	1258.92541179
1258.92541179 	1518.60241092 	1778.27941004
1778.27941004 	2145.08292077 	2511.88643151
2511.88643151 	3030.01016192 	3548.13389234
3548.13389234 	4280.0031143 	5011.87233627
5011.87233627 	6045.66509006 	7079.45784384
7079.45784384	8539.72892192	10000.0
