29.8478458673 33.7469085499 40.7078419458
40.7078419458 47.6687753417 57.501355109
57.501355109 67.3339348763 81.2228229581
81.2228229581 95.11171104 114.730286909
114.730286909 134.348862777 162.060837764
162.060837764 189.77281275 228.917017854
228.917017854 268.061222958 323.353882322
323.353882322 378.646541686 456.74949898
456.74949898 534.852456273 645.175815796
645.175815796 755.49917532 911.335062695
911.335062695 1067.17095007 1360.37252369
1360.37252369 1653.57409732 2214.80046808
2214.80046808 2776.02683884 3718.21592515

