# AngSepBCG_min[m] 	AngSepBCG_min[n] 	Radius[i](kpc/h100) 	Radius[j](kpc/h100) 	covariance(h100*M_sun/pc^2)^2 	correlation 	bias(1+K[m,i])(1+K[n,j])
0.05 	0.05 	114.545095242 	1681.29206906 	0.00453047498849 	0.000274876245799 	0.856582529902
0.05 	0.05 	168.129206906 	24.6779926762 	3.10204841653 	0.00820737794062 	0.856838383547
0.05 	0.05 	168.129206906 	36.2223395765 	-0.0136724077993 	-5.28740118625e-05 	0.856743205799
0.05 	0.05 	168.129206906 	53.167123502 	2.14163729761 	0.0120605789077 	0.856015550149
0.05 	0.05 	168.129206906 	78.0386649378 	3.39679157948 	0.027576982129 	0.856566825348
0.05 	0.05 	168.129206906 	114.545095242 	6.12982668416 	0.0718533805668 	0.857077828951
0.05 	0.05 	168.129206906 	168.129206906 	60.9489475147 	1.0 	0.856571210802
0.05 	0.05 	168.129206906 	246.779926762 	8.86462282653 	0.187896460245 	0.856562373589
0.05 	0.05 	168.129206906 	362.223395765 	4.92984372964 	0.133224020006 	0.856669066304
0.05 	0.05 	168.129206906 	531.67123502 	0.369577136401 	0.0129517813319 	0.856621805763
0.05 	0.05 	168.129206906 	780.386649378 	0.0722415818354 	0.00331957296276 	0.856497067124
0.05 	0.05 	168.129206906 	1145.45095242 	0.018840893417 	0.00115402886925 	0.856241301047
0.05 	0.05 	168.129206906 	1681.29206906 	0.011626646301 	0.000987376333956 	0.856076204524
0.05 	0.05 	246.779926762 	24.6779926762 	0.375504741876 	0.00128349988325 	0.856829543578
0.05 	0.05 	246.779926762 	36.2223395765 	1.27695022862 	0.00637963420849 	0.856734366812
0.05 	0.05 	246.779926762 	53.167123502 	1.1277496914 	0.00820463937351 	0.856006718669
0.05 	0.05 	246.779926762 	78.0386649378 	2.05572832285 	0.0215609605048 	0.856557988181
0.05 	0.05 	246.779926762 	114.545095242 	4.27630487358 	0.0647578195963 	0.857068986512
0.05 	0.05 	246.779926762 	168.129206906 	8.86462282653 	0.187896460245 	0.856562373589
0.05 	0.05 	246.779926762 	246.779926762 	36.5188519576 	1.0 	0.856553536468
0.05 	0.05 	246.779926762 	362.223395765 	8.55259185708 	0.298587536655 	0.856660228081
0.05 	0.05 	246.779926762 	531.67123502 	1.7129065028 	0.0775501447324 	0.856612968029
0.05 	0.05 	246.779926762 	780.386649378 	0.0673448060285 	0.00399782358067 	0.856488230676
0.05 	0.05 	246.779926762 	1145.45095242 	0.046658631792 	0.00369208530833 	0.856232467238
0.05 	0.05 	246.779926762 	1681.29206906 	-0.0179387632211 	-0.00196809155334 	0.856067372418
0.05 	0.05 	362.223395765 	24.6779926762 	0.159538746262 	0.000695244604866 	0.856936269571
0.05 	0.05 	362.223395765 	36.2223395765 	0.51673764462 	0.00329141734883 	0.856841080949
0.05 	0.05 	362.223395765 	53.167123502 	0.680428246521 	0.00631131939241 	0.856113342172
0.05 	0.05 	362.223395765 	78.0386649378 	1.39976864249 	0.0187175796376 	0.856664680349
0.05 	0.05 	362.223395765 	114.545095242 	2.69523202398 	0.0520368213971 	0.857175742329
0.05 	0.05 	362.223395765 	168.129206906 	4.92984372964 	0.133224020006 	0.856669066304
0.05 	0.05 	362.223395765 	246.779926762 	8.55259185708 	0.298587536655 	0.856660228081
0.05 	0.05 	362.223395765 	362.223395765 	22.4664796531 	1.0 	0.856766932984
0.05 	0.05 	362.223395765 	531.67123502 	5.14624872913 	0.297050831276 	0.856719667045
0.05 	0.05 	362.223395765 	780.386649378 	0.290346870639 	0.0219749407722 	0.856594914155
0.05 	0.05 	362.223395765 	1145.45095242 	0.0403037766778 	0.00406608558975 	0.856339118859
0.05 	0.05 	362.223395765 	1681.29206906 	-0.0314134764646 	-0.00439399791165 	0.856174003475
0.05 	0.05 	531.67123502 	24.6779926762 	-0.249581839821 	-0.00141045573306 	0.85688899429
0.05 	0.05 	531.67123502 	36.2223395765 	0.142162493115 	0.00117428336803 	0.856793810919
0.05 	0.05 	531.67123502 	53.167123502 	-0.0659494448777 	-0.000793275414963 	0.856066112289
0.05 	0.05 	531.67123502 	78.0386649378 	-0.0345562399698 	-0.000599231916124 	0.85661742005
0.05 	0.05 	531.67123502 	114.545095242 	0.0085320790284 	0.000213621272464 	0.857128453837
0.05 	0.05 	531.67123502 	168.129206906 	0.369577136401 	0.0129517813319 	0.856621805763
0.05 	0.05 	531.67123502 	246.779926762 	1.7129065028 	0.0775501447324 	0.856612968029
0.05 	0.05 	531.67123502 	362.223395765 	5.14624872913 	0.297050831276 	0.856719667045
0.05 	0.05 	531.67123502 	531.67123502 	13.3593391308 	1.0 	0.856672403713
0.05 	0.05 	531.67123502 	780.386649378 	2.23650651022 	0.219510731175 	0.856547657705
0.05 	0.05 	531.67123502 	1145.45095242 	0.0252996088224 	0.00330993606259 	0.856291876521
0.05 	0.05 	531.67123502 	1681.29206906 	-0.00490266564099 	-0.000889305844042 	0.856126770246
0.05 	0.05 	780.386649378 	24.6779926762 	-0.02373810966 	-0.000175898920717 	0.856764216743
0.05 	0.05 	780.386649378 	36.2223395765 	0.0718711767984 	0.000778418589739 	0.856669047233
0.05 	0.05 	780.386649378 	53.167123502 	0.0583429818952 	0.000920178405286 	0.855941454568
0.05 	0.05 	780.386649378 	78.0386649378 	0.0842673977057 	0.00191601366535 	0.856492682049
0.05 	0.05 	780.386649378 	114.545095242 	0.0210002133549 	0.000689420034163 	0.85700364142
0.05 	0.05 	780.386649378 	168.129206906 	0.0722415818354 	0.00331957296276 	0.856497067124
0.05 	0.05 	780.386649378 	246.779926762 	0.0673448060285 	0.00399782358067 	0.856488230676
0.05 	0.05 	780.386649378 	362.223395765 	0.290346870639 	0.0219749407722 	0.856594914155
0.05 	0.05 	780.386649378 	531.67123502 	2.23650651022 	0.219510731175 	0.856547657705
0.05 	0.05 	780.386649378 	780.386649378 	7.77040841377 	1.0 	0.856422929863
0.05 	0.05 	780.386649378 	1145.45095242 	0.891269537422 	0.152892233795 	0.856167185925
0.05 	0.05 	780.386649378 	1681.29206906 	0.0396625348565 	0.0094334358786 	0.856002103692
0.05 	0.05 	1145.45095242 	24.6779926762 	-0.0255751082745 	-0.000252612439398 	0.85650837089
0.05 	0.05 	1145.45095242 	36.2223395765 	-0.0359209792286 	-0.000518593201487 	0.856413229799
