# Radius(kpc)	ESD_t(h100*M_sun/pc^2)	ESD_x(h100*M_sun/pc^2)	error(h100*M_sun/pc^2)^2	bias(1+K)	variance(e_s)
24.6779926762	62.1790144159	31.588688112	63.6767463896	0.920985701049	0.0781361528981
36.2223395765	90.9879126614	1.12370491621	42.001060685	0.920907953698	0.0781361528981
53.167123502	4.65430770016	38.9913348615	28.1055403296	0.924469118484	0.0781361528981
78.0386649378	45.9589564353	27.9565094056	19.0252295799	0.923764946204	0.0781361528981
114.545095242	0.203443857679	-29.2212684981	12.8899592341	0.924141167707	0.0781361528981
168.129206906	16.9912298801	1.63945721571	8.84475482749	0.92288082997	0.0781361528981
246.779926762	9.34419152573	-5.83610326098	6.01043875559	0.923033088274	0.0781361528981
362.223395765	0.641416532806	2.26167219637	4.09097557559	0.922589069949	0.0781361528981
531.67123502	10.4913688573	-2.82988548387	2.79036170235	0.922467589434	0.0781361528981
780.386649378	16.5966894021	0.416230851793	1.93071333877	0.922367244999	0.0781361528981
1145.45095242	24.497458657	-2.40724197752	1.31960444678	0.922177949603	0.0781361528981
1681.29206906	15.2969919586	-0.950462369108	0.900735666163	0.921890629157	0.0781361528981
