# Radius(kpc)	ESD_t(h100*M_sun/pc^2)	ESD_x(h100*M_sun/pc^2)	error(h100*M_sun/pc^2)^2	bias(1+K)	variance(e_s)
24.6779926762	41.4676464534	-23.6995026047	48.5514817004	0.925799999798	0.0781361528981
36.2223395765	54.0686178338	10.3096041283	32.9907048618	0.925697161782	0.0781361528981
53.167123502	23.150939473	-43.1403347069	22.5234881725	0.924910941635	0.0781361528981
78.0386649378	0.601617030384	-9.27997777656	15.2482779227	0.925506585561	0.0781361528981
114.545095242	23.1678727687	10.4901347748	10.3182312403	0.92605871668	0.0781361528981
168.129206906	31.2482717211	-7.26096754768	7.02571258771	0.925511323973	0.0781361528981
246.779926762	40.7334481693	-0.392236209904	4.74932841005	0.925501775508	0.0781361528981
362.223395765	26.9014499302	4.2636512681	3.26250370219	0.925617055258	0.0781361528981
531.67123502	24.3968962185	0.236216878922	2.23085743186	0.925565991009	0.0781361528981
780.386649378	17.5185186061	-1.02491450477	1.5210584753	0.925431212929	0.0781361528981
1145.45095242	11.7381977567	-0.797790416265	1.04079955703	0.925154861824	0.0781361528981
1681.29206906	6.13907817174	-2.84416191539	0.711937597205	0.924976477704	0.0781361528981
