# Radius(kpc)	ESD_t(h100*M_sun/pc^2)	ESD_x(h100*M_sun/pc^2)	error(h100*M_sun/pc^2)^2	bias(1+K)	variance(e_s)
24.6779926762	39.6425800719	-5.46406355705	54.5428087998	0.927396896703	0.0781361528981
36.2223395765	36.7506504709	43.9216751517	36.3348162739	0.921535873347	0.0781361528981
53.167123502	17.60906043	-24.372166249	24.5464750361	0.925359884268	0.0781361528981
78.0386649378	5.74675660747	4.2966691333	16.7435763058	0.925139501184	0.0781361528981
114.545095242	12.7405425572	3.01402036278	11.4420764816	0.924356687605	0.0781361528981
168.129206906	0.486253783657	13.0051451138	7.79908886086	0.924322115081	0.0781361528981
246.779926762	-4.81224505746	4.59472687305	5.34364488435	0.924597837615	0.0781361528981
362.223395765	21.386620449	6.44609899541	3.63081684599	0.924436477731	0.0781361528981
531.67123502	17.7732918217	3.00284753326	2.48177371665	0.924267071534	0.0781361528981
780.386649378	17.9980395467	-2.0418057962	1.69895094389	0.924266752539	0.0781361528981
1145.45095242	13.9986016405	-1.92915406586	1.16670478863	0.924086721152	0.0781361528981
1681.29206906	6.94752353552	-2.26041336161	0.801088828834	0.9237896447	0.0781361528981
